Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
2048,28160,blackhole,riscv_1,73728,1,1,987672.0,58.39153079159883
2048,28160,blackhole,riscv_1,74752,2,1,987669.0,58.39170815323757
2048,28160,blackhole,riscv_1,75776,3,1,987670.0,58.39164903257161
2048,28160,blackhole,riscv_1,76800,4,1,987671.0,58.39158991202536
4096,28160,blackhole,riscv_1,77824,1,1,1877802.0,61.4246656463248
4096,28160,blackhole,riscv_1,78848,2,1,1880422.0,61.339082397461844
4096,28160,blackhole,riscv_1,79872,3,1,1878571.0,61.39952123182994
4096,28160,blackhole,riscv_1,80896,4,1,1880183.0,61.34687953247104
8192,28160,blackhole,riscv_1,81920,1,1,3740392.0,61.674476899747404
8192,28160,blackhole,riscv_1,82944,2,1,3731344.0,61.824029089786414
8192,28160,blackhole,riscv_1,83968,3,1,3726973.0,61.89653641172072
8192,28160,blackhole,riscv_1,84992,4,1,3733293.0,61.79175328590603
16384,28160,blackhole,riscv_1,86016,1,1,7431635.0,62.082360072850726
16384,28160,blackhole,riscv_1,87040,2,1,7452789.0,61.90614547117864
16384,28160,blackhole,riscv_1,88064,3,1,7435869.0,62.047010241842614
16384,28160,blackhole,riscv_1,89088,4,1,7453169.0,61.90298918486888
32768,28160,blackhole,riscv_1,90112,1,1,14877448.0,62.023196451434416
32768,28160,blackhole,riscv_1,91136,2,1,14881046.0,62.008200230010715
32768,28160,blackhole,riscv_1,92160,3,1,14877064.0,62.02479736593188
32768,28160,blackhole,riscv_1,93184,4,1,14863613.0,62.080927429959324
65536,28160,blackhole,riscv_1,94208,1,1,29815071.0,61.89801661045852
65536,28160,blackhole,riscv_1,95232,2,1,29808751.0,61.911140121234865
65536,28160,blackhole,riscv_1,96256,3,1,29851585.0,61.82230390781595
65536,28160,blackhole,riscv_1,97280,4,1,29822225.0,61.883168006411324
131072,28160,blackhole,riscv_1,98304,1,1,59667210.0,61.859562731356135
131072,28160,blackhole,riscv_1,99328,2,1,59662647.0,61.86429375149916
131072,28160,blackhole,riscv_1,100352,3,1,59687584.0,61.838447339399764
131072,28160,blackhole,riscv_1,101376,4,1,59633105.0,61.89494107341887
262144,28160,blackhole,riscv_1,102400,1,1,119342752.0,61.85524396152688
262144,28160,blackhole,riscv_1,103424,2,1,119284727.0,61.885332897647494
262144,28160,blackhole,riscv_1,104448,3,1,119629584.0,61.706935635586596
262144,28160,blackhole,riscv_1,105472,4,1,119418710.0,61.815900037774654
