Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
4096,64,blackhole,unicast,l1,all_to_all,riscv_0,17408,2x2,2x2,7924.5,33.24891240326356
8192,64,blackhole,unicast,l1,all_to_all,riscv_0,18432,2x2,2x2,22512.5,23.556586307781473
16384,64,blackhole,unicast,l1,all_to_all,riscv_0,19456,2x2,2x2,34892.5,30.57181056425924
32768,64,blackhole,unicast,l1,all_to_all,riscv_0,20480,2x2,2x2,68472.5,31.12792671908909
65536,64,blackhole,unicast,l1,all_to_all,riscv_0,21504,2x2,2x2,137622.0,31.019732873458132
64,1024,blackhole,unicast,l1,all_to_all,riscv_0,22528,2x2,2x2,38261.0,1.712867355980988
128,1024,blackhole,unicast,l1,all_to_all,riscv_0,23552,2x2,2x2,38269.5,3.424973970645243
256,1024,blackhole,unicast,l1,all_to_all,riscv_0,24576,2x2,2x2,38280.5,6.847980468460802
512,1024,blackhole,unicast,l1,all_to_all,riscv_0,25600,2x2,2x2,38834.0,13.500984625548838
1024,1024,blackhole,unicast,l1,all_to_all,riscv_0,26624,2x2,2x2,49580.5,21.160294348750426
2048,1024,blackhole,unicast,l1,all_to_all,riscv_0,27648,2x2,2x2,75510.0,28.219654329057363
4096,1024,blackhole,unicast,l1,all_to_all,riscv_0,28672,2x2,2x2,174895.5,24.048569173293103
8192,1024,blackhole,unicast,l1,all_to_all,riscv_0,29696,2x2,2x2,346787.0,24.413417727824857
16384,1024,blackhole,unicast,l1,all_to_all,riscv_0,30720,2x2,2x2,558871.5,30.616499994676843
32768,1024,blackhole,unicast,l1,all_to_all,riscv_0,31744,2x2,2x2,1111242.5,30.784003320100094
65536,1024,blackhole,unicast,l1,all_to_all,riscv_0,32768,2x2,2x2,2201569.0,31.0674379262844
64,16,blackhole,unicast,l1,all_to_all,riscv_0,33792,4x4,4x4,1291.5,0.792877569740463
128,16,blackhole,unicast,l1,all_to_all,riscv_0,34816,4x4,4x4,1290.5,1.5869820282336269
256,16,blackhole,unicast,l1,all_to_all,riscv_0,35840,4x4,4x4,1298.5,3.1544131427554714
512,16,blackhole,unicast,l1,all_to_all,riscv_0,36864,4x4,4x4,1368.5,5.986136162914503
1024,16,blackhole,unicast,l1,all_to_all,riscv_0,37888,4x4,4x4,1590.0,10.304732678037626
2048,16,blackhole,unicast,l1,all_to_all,riscv_0,38912,4x4,4x4,2619.5,12.50931263890407
4096,16,blackhole,unicast,l1,all_to_all,riscv_0,39936,4x4,4x4,4852.5,13.531321387468585
8192,16,blackhole,unicast,l1,all_to_all,riscv_0,40960,4x4,4x4,10871.5,12.056482256837263
16384,16,blackhole,unicast,l1,all_to_all,riscv_0,41984,4x4,4x4,19776.0,13.263283006558522
32768,16,blackhole,unicast,l1,all_to_all,riscv_0,43008,4x4,4x4,42656.5,12.291542757548644
65536,16,blackhole,unicast,l1,all_to_all,riscv_0,44032,4x4,4x4,90546.5,11.582547412606544
64,256,blackhole,unicast,l1,all_to_all,riscv_0,45056,4x4,4x4,10751.0,1.523952855709637
128,256,blackhole,unicast,l1,all_to_all,riscv_0,46080,4x4,4x4,10937.5,2.9959647932006046
256,256,blackhole,unicast,l1,all_to_all,riscv_0,47104,4x4,4x4,11752.0,5.57664412490913
512,256,blackhole,unicast,l1,all_to_all,riscv_0,48128,4x4,4x4,14613.0,8.970556925301022
1024,256,blackhole,unicast,l1,all_to_all,riscv_0,49152,4x4,4x4,24478.0,10.70969743703349
2048,256,blackhole,unicast,l1,all_to_all,riscv_0,50176,4x4,4x4,46224.0,11.342333247306623
4096,256,blackhole,unicast,l1,all_to_all,riscv_0,51200,4x4,4x4,92596.5,11.326722915590372
8192,256,blackhole,unicast,l1,all_to_all,riscv_0,52224,4x4,4x4,179836.0,11.661534162478254
16384,256,blackhole,unicast,l1,all_to_all,riscv_0,53248,4x4,4x4,378554.5,11.082790265405137
32768,256,blackhole,unicast,l1,all_to_all,riscv_0,54272,4x4,4x4,753618.5,11.133074298882153
65536,256,blackhole,unicast,l1,all_to_all,riscv_0,55296,4x4,4x4,1478947.0,11.350060413824151
64,4096,blackhole,unicast,l1,all_to_all,riscv_0,56320,4x4,4x4,163335.5,1.6049431459629533
128,4096,blackhole,unicast,l1,all_to_all,riscv_0,57344,4x4,4x4,169079.5,3.101331443700813
256,4096,blackhole,unicast,l1,all_to_all,riscv_0,58368,4x4,4x4,185493.5,5.653210196562958
512,4096,blackhole,unicast,l1,all_to_all,riscv_0,59392,4x4,4x4,236010.0,8.886155408816474
1024,4096,blackhole,unicast,l1,all_to_all,riscv_0,60416,4x4,4x4,389900.5,10.757857578559388
2048,4096,blackhole,unicast,l1,all_to_all,riscv_0,61440,4x4,4x4,751389.0,11.164333024168855
4096,4096,blackhole,unicast,l1,all_to_all,riscv_0,62464,4x4,4x4,1431497.0,11.720179298941327
8192,4096,blackhole,unicast,l1,all_to_all,riscv_0,63488,4x4,4x4,2886507.0,11.626868045375474
16384,4096,blackhole,unicast,l1,all_to_all,riscv_0,64512,4x4,4x4,5933650.0,11.313247025996654
32768,4096,blackhole,unicast,l1,all_to_all,riscv_0,65536,4x4,4x4,11751970.5,11.427502485926677
65536,4096,blackhole,unicast,l1,all_to_all,riscv_0,66560,4x4,4x4,23635879.0,11.360749002028813
64,110,blackhole,unicast,l1,all_to_all,riscv_0,67584,11x10,11x10,7141.5,0.9857873430766679
128,110,blackhole,unicast,l1,all_to_all,riscv_0,68608,11x10,11x10,7618.0,1.8482541667913783
256,110,blackhole,unicast,l1,all_to_all,riscv_0,69632,11x10,11x10,9036.0,3.1164233487780884
512,110,blackhole,unicast,l1,all_to_all,riscv_0,70656,11x10,11x10,12273.0,4.589106436381499
1024,110,blackhole,unicast,l1,all_to_all,riscv_0,71680,11x10,11x10,20187.5,5.580320414227671
2048,110,blackhole,unicast,l1,all_to_all,riscv_0,72704,11x10,11x10,40239.5,5.599011809855707
4096,110,blackhole,unicast,l1,all_to_all,riscv_0,73728,11x10,11x10,77743.5,5.795516759205935
8192,110,blackhole,unicast,l1,all_to_all,riscv_0,74752,11x10,11x10,161748.0,5.571283820336715
16384,110,blackhole,unicast,l1,all_to_all,riscv_0,75776,11x10,11x10,320378.0,5.626146969583191
32768,110,blackhole,unicast,l1,all_to_all,riscv_0,76800,11x10,11x10,652969.0,5.5203176589724166
65536,110,blackhole,unicast,l1,all_to_all,riscv_0,77824,11x10,11x10,1310631.0,5.500387085771325
64,1760,blackhole,unicast,l1,all_to_all,riscv_0,78848,11x10,11x10,86639.0,1.3001095928933832
128,1760,blackhole,unicast,l1,all_to_all,riscv_0,79872,11x10,11x10,96938.0,2.3239741278216295
256,1760,blackhole,unicast,l1,all_to_all,riscv_0,80896,11x10,11x10,122236.0,3.6859854994723604
512,1760,blackhole,unicast,l1,all_to_all,riscv_0,81920,11x10,11x10,181857.5,4.955103375944062
1024,1760,blackhole,unicast,l1,all_to_all,riscv_0,82944,11x10,11x10,326887.5,5.513753073024421
2048,1760,blackhole,unicast,l1,all_to_all,riscv_0,83968,11x10,11x10,649916.0,5.5461451323744635
4096,1760,blackhole,unicast,l1,all_to_all,riscv_0,84992,11x10,11x10,1311889.5,5.495297671990861
8192,1760,blackhole,unicast,l1,all_to_all,riscv_0,86016,11x10,11x10,2698534.0,5.342872344011177
16384,1760,blackhole,unicast,l1,all_to_all,riscv_0,87040,11x10,11x10,5255933.0,5.48643119840257
32768,1760,blackhole,unicast,l1,all_to_all,riscv_0,88064,11x10,11x10,10717180.0,5.381244620637494
65536,1760,blackhole,unicast,l1,all_to_all,riscv_0,89088,11x10,11x10,20940846.0,5.508165029315538
64,28160,blackhole,unicast,l1,all_to_all,riscv_0,90112,11x10,11x10,1354520.5,1.3305878586638218
128,28160,blackhole,unicast,l1,all_to_all,riscv_0,91136,11x10,11x10,1522633.0,2.3672877731771327
256,28160,blackhole,unicast,l1,all_to_all,riscv_0,92160,11x10,11x10,1900626.0,3.792948370293336
512,28160,blackhole,unicast,l1,all_to_all,riscv_0,93184,11x10,11x10,2867934.5,5.027292452379061
1024,28160,blackhole,unicast,l1,all_to_all,riscv_0,94208,11x10,11x10,5338238.5,5.401751933789985
2048,28160,blackhole,unicast,l1,all_to_all,riscv_0,95232,11x10,11x10,10570858.0,5.455795488033798
4096,28160,blackhole,unicast,l1,all_to_all,riscv_0,96256,11x10,11x10,21001858.0,5.492115265319947
8192,28160,blackhole,unicast,l1,all_to_all,riscv_0,97280,11x10,11x10,41840428.0,5.513812807496464
16384,28160,blackhole,unicast,l1,all_to_all,riscv_0,98304,11x10,11x10,84293491.0,5.473520185926489
32768,28160,blackhole,unicast,l1,all_to_all,riscv_0,99328,11x10,11x10,170844057.5,5.401317659499182
65536,28160,blackhole,unicast,l1,all_to_all,riscv_0,100352,11x10,11x10,338145537.5,5.457703332391053
64,1,blackhole,unicast,l1,all_to_all,riscv_0,101376,2x2,1x1,291.0,0.22119552953193106
128,1,blackhole,unicast,l1,all_to_all,riscv_0,102400,2x2,1x1,291.0,0.4423910590638621
256,1,blackhole,unicast,l1,all_to_all,riscv_0,103424,2x2,1x1,299.5,0.8620255441626192
512,1,blackhole,unicast,l1,all_to_all,riscv_0,104448,2x2,1x1,297.0,1.7362075264888563
1024,1,blackhole,unicast,l1,all_to_all,riscv_0,105472,2x2,1x1,309.5,3.336856956347786
2048,1,blackhole,unicast,l1,all_to_all,riscv_0,106496,2x2,1x1,329.5,6.262328551012454
4096,1,blackhole,unicast,l1,all_to_all,riscv_0,107520,2x2,1x1,383.0,10.82468863205106
8192,1,blackhole,unicast,l1,all_to_all,riscv_0,108544,2x2,1x1,522.0,16.11067408110674
16384,1,blackhole,unicast,l1,all_to_all,riscv_0,109568,2x2,1x1,835.0,20.249135603656512
32768,1,blackhole,unicast,l1,all_to_all,riscv_0,110592,2x2,1x1,1911.0,17.224318718252626
65536,1,blackhole,unicast,l1,all_to_all,riscv_0,111616,2x2,1x1,3736.5,17.739159764188052
64,16,blackhole,unicast,l1,all_to_all,riscv_0,112640,2x2,1x1,884.5,1.158679271834103
128,16,blackhole,unicast,l1,all_to_all,riscv_0,113664,2x2,1x1,905.5,2.2622366873722166
256,16,blackhole,unicast,l1,all_to_all,riscv_0,114688,2x2,1x1,897.0,4.571110071562939
512,16,blackhole,unicast,l1,all_to_all,riscv_0,115712,2x2,1x1,896.0,9.148885623224608
1024,16,blackhole,unicast,l1,all_to_all,riscv_0,116736,2x2,1x1,1219.5,13.544213287779879
2048,16,blackhole,unicast,l1,all_to_all,riscv_0,117760,2x2,1x1,2063.5,16.04045367095334
4096,16,blackhole,unicast,l1,all_to_all,riscv_0,118784,2x2,1x1,3834.0,17.307042253521125
8192,16,blackhole,unicast,l1,all_to_all,riscv_0,119808,2x2,1x1,7578.0,17.595476912818686
16384,16,blackhole,unicast,l1,all_to_all,riscv_0,120832,2x2,1x1,16570.0,15.821593206403033
32768,16,blackhole,unicast,l1,all_to_all,riscv_0,121856,2x2,1x1,32045.5,16.361137333031262
65536,16,blackhole,unicast,l1,all_to_all,riscv_0,122880,2x2,1x1,64873.0,16.16360361859263
64,256,blackhole,unicast,l1,all_to_all,riscv_0,123904,2x2,1x1,10123.0,1.6188720816517508
128,256,blackhole,unicast,l1,all_to_all,riscv_0,124928,2x2,1x1,9990.5,3.2799284157823925
256,256,blackhole,unicast,l1,all_to_all,riscv_0,125952,2x2,1x1,10247.0,6.395652352835401
512,256,blackhole,unicast,l1,all_to_all,riscv_0,126976,2x2,1x1,10252.0,12.785087623819575
1024,256,blackhole,unicast,l1,all_to_all,riscv_0,128000,2x2,1x1,16196.5,16.497261366563585
2048,256,blackhole,unicast,l1,all_to_all,riscv_0,129024,2x2,1x1,30478.5,17.534792453622586
4096,256,blackhole,unicast,l1,all_to_all,riscv_0,130048,2x2,1x1,59786.0,17.885532316521385
8192,256,blackhole,unicast,l1,all_to_all,riscv_0,131072,2x2,1x1,118357.5,18.076410060678228
16384,256,blackhole,unicast,l1,all_to_all,riscv_0,132096,2x2,1x1,258009.5,16.256399045173314
32768,256,blackhole,unicast,l1,all_to_all,riscv_0,133120,2x2,1x1,515171.5,16.28313882409637
65536,256,blackhole,unicast,l1,all_to_all,riscv_0,134144,2x2,1x1,1012588.0,16.568650224092437
64,4,blackhole,unicast,l1,all_to_all,riscv_0,135168,4x4,2x2,600.5,0.42631170271769275
128,4,blackhole,unicast,l1,all_to_all,riscv_0,136192,4x4,2x2,609.5,0.8400469468402407
256,4,blackhole,unicast,l1,all_to_all,riscv_0,137216,4x4,2x2,618.5,1.6556195136743157
512,4,blackhole,unicast,l1,all_to_all,riscv_0,138240,4x4,2x2,608.0,3.3684210526315788
1024,4,blackhole,unicast,l1,all_to_all,riscv_0,139264,4x4,2x2,713.0,5.744740532959327
2048,4,blackhole,unicast,l1,all_to_all,riscv_0,140288,4x4,2x2,982.5,8.33793292061361
4096,4,blackhole,unicast,l1,all_to_all,riscv_0,141312,4x4,2x2,1503.0,10.90086493679308
8192,4,blackhole,unicast,l1,all_to_all,riscv_0,142336,4x4,2x2,2844.0,11.540342821478724
16384,4,blackhole,unicast,l1,all_to_all,riscv_0,143360,4x4,2x2,5788.5,11.414405335135463
32768,4,blackhole,unicast,l1,all_to_all,riscv_0,144384,4x4,2x2,12550.0,10.494883507462717
65536,4,blackhole,unicast,l1,all_to_all,riscv_0,145408,4x4,2x2,26848.0,9.766023452292002
64,64,blackhole,unicast,l1,all_to_all,riscv_0,146432,4x4,2x2,2938.5,1.3939201200735174
128,64,blackhole,unicast,l1,all_to_all,riscv_0,147456,4x4,2x2,3024.5,2.7085475334617897
256,64,blackhole,unicast,l1,all_to_all,riscv_0,148480,4x4,2x2,3195.0,5.1537996301842215
512,64,blackhole,unicast,l1,all_to_all,riscv_0,149504,4x4,2x2,4374.0,7.492265013530822
1024,64,blackhole,unicast,l1,all_to_all,riscv_0,150528,4x4,2x2,7466.0,8.781014227240892
2048,64,blackhole,unicast,l1,all_to_all,riscv_0,151552,4x4,2x2,14418.5,9.097388337532351
4096,64,blackhole,unicast,l1,all_to_all,riscv_0,152576,4x4,2x2,28131.0,9.343306241248023
8192,64,blackhole,unicast,l1,all_to_all,riscv_0,153600,4x4,2x2,54226.5,9.672126825333274
16384,64,blackhole,unicast,l1,all_to_all,riscv_0,154624,4x4,2x2,108521.5,9.663375823044092
32768,64,blackhole,unicast,l1,all_to_all,riscv_0,155648,4x4,2x2,215500.0,9.731567027149394
65536,64,blackhole,unicast,l1,all_to_all,riscv_0,156672,4x4,2x2,431163.5,9.727874280150774
64,1024,blackhole,unicast,l1,all_to_all,riscv_0,157696,4x4,2x2,39765.0,1.649117074394915
128,1024,blackhole,unicast,l1,all_to_all,riscv_0,158720,4x4,2x2,43257.5,3.0309976777045353
256,1024,blackhole,unicast,l1,all_to_all,riscv_0,159744,4x4,2x2,47293.0,5.543001051559073
512,1024,blackhole,unicast,l1,all_to_all,riscv_0,160768,4x4,2x2,66105.0,7.934557776703706
1024,1024,blackhole,unicast,l1,all_to_all,riscv_0,161792,4x4,2x2,117508.0,8.926983496498547
2048,1024,blackhole,unicast,l1,all_to_all,riscv_0,162816,4x4,2x2,222305.5,9.440823673169167
4096,1024,blackhole,unicast,l1,all_to_all,riscv_0,163840,4x4,2x2,435094.0,9.644413677872992
8192,1024,blackhole,unicast,l1,all_to_all,riscv_0,164864,4x4,2x2,863695.0,9.713533759954284
16384,1024,blackhole,unicast,l1,all_to_all,riscv_0,165888,4x4,2x2,1718570.5,9.762309094570927
32768,1024,blackhole,unicast,l1,all_to_all,riscv_0,166912,4x4,2x2,3429800.5,9.783206671998045
65536,1024,blackhole,unicast,l1,all_to_all,riscv_0,167936,4x4,2x2,6878116.0,9.756867145433372
64,16,blackhole,unicast,l1,all_to_all,riscv_0,168960,2x2,4x4,1294.0,0.7913446676970634
128,16,blackhole,unicast,l1,all_to_all,riscv_0,169984,2x2,4x4,1295.0,1.5814681244871869
256,16,blackhole,unicast,l1,all_to_all,riscv_0,171008,2x2,4x4,1301.0,3.148347425057648
512,16,blackhole,unicast,l1,all_to_all,riscv_0,172032,2x2,4x4,1302.0,6.2918623905219615
1024,16,blackhole,unicast,l1,all_to_all,riscv_0,173056,2x2,4x4,1330.5,12.31437803638007
2048,16,blackhole,unicast,l1,all_to_all,riscv_0,174080,2x2,4x4,1552.0,21.15282368673351
4096,16,blackhole,unicast,l1,all_to_all,riscv_0,175104,2x2,4x4,2397.0,27.372876787041385
8192,16,blackhole,unicast,l1,all_to_all,riscv_0,176128,2x2,4x4,3905.0,33.710049119803756
16384,16,blackhole,unicast,l1,all_to_all,riscv_0,177152,2x2,4x4,8620.5,30.514715431106513
32768,16,blackhole,unicast,l1,all_to_all,riscv_0,178176,2x2,4x4,17498.5,30.112730781574772
65536,16,blackhole,unicast,l1,all_to_all,riscv_0,179200,2x2,4x4,35079.5,30.01973902828462
64,256,blackhole,unicast,l1,all_to_all,riscv_0,180224,2x2,4x4,10698.0,1.5315012151804075
128,256,blackhole,unicast,l1,all_to_all,riscv_0,181248,2x2,4x4,10695.0,3.0638616443642896
256,256,blackhole,unicast,l1,all_to_all,riscv_0,182272,2x2,4x4,10699.5,6.125146048237541
512,256,blackhole,unicast,l1,all_to_all,riscv_0,183296,2x2,4x4,10706.0,12.242854474126657
1024,256,blackhole,unicast,l1,all_to_all,riscv_0,184320,2x2,4x4,11993.0,21.88254807948769
2048,256,blackhole,unicast,l1,all_to_all,riscv_0,185344,2x2,4x4,19328.5,27.22056655306575
4096,256,blackhole,unicast,l1,all_to_all,riscv_0,186368,2x2,4x4,37122.0,28.39742492253412
8192,256,blackhole,unicast,l1,all_to_all,riscv_0,187392,2x2,4x4,71465.5,29.640612553258975
16384,256,blackhole,unicast,l1,all_to_all,riscv_0,188416,2x2,4x4,141735.5,29.783513677681714
32768,256,blackhole,unicast,l1,all_to_all,riscv_0,189440,2x2,4x4,283366.5,29.80225229988294
65536,256,blackhole,unicast,l1,all_to_all,riscv_0,190464,2x2,4x4,570133.5,29.637087604579335
64,4096,blackhole,unicast,l1,all_to_all,riscv_0,191488,2x2,4x4,157896.5,1.6602267941507802
128,4096,blackhole,unicast,l1,all_to_all,riscv_0,192512,2x2,4x4,157898.0,3.320422044611078
256,4096,blackhole,unicast,l1,all_to_all,riscv_0,193536,2x2,4x4,157900.0,6.640759974667511
512,4096,blackhole,unicast,l1,all_to_all,riscv_0,194560,2x2,4x4,157909.0,13.280762979600038
1024,4096,blackhole,unicast,l1,all_to_all,riscv_0,195584,2x2,4x4,192724.0,21.782348282632494
2048,4096,blackhole,unicast,l1,all_to_all,riscv_0,196608,2x2,4x4,322960.0,26.072244801027892
4096,4096,blackhole,unicast,l1,all_to_all,riscv_0,197632,2x2,4x4,646404.5,26.066126277782626
8192,4096,blackhole,unicast,l1,all_to_all,riscv_0,198656,2x2,4x4,1137085.0,29.92403060570667
16384,4096,blackhole,unicast,l1,all_to_all,riscv_0,199680,2x2,4x4,2278340.5,29.679069361303632
32768,4096,blackhole,unicast,l1,all_to_all,riscv_0,200704,2x2,4x4,4552639.5,29.703330655145997
65536,4096,blackhole,unicast,l1,all_to_all,riscv_0,201728,2x2,4x4,9120228.5,29.656747192152228
64,1,blackhole,unicast,l1,all_to_all,riscv_0,202752,4x4,1x1,434.5,0.14730530040576761
128,1,blackhole,unicast,l1,all_to_all,riscv_0,203776,4x4,1x1,425.0,0.30117647058823527
256,1,blackhole,unicast,l1,all_to_all,riscv_0,204800,4x4,1x1,419.0,0.6110098432373314
512,1,blackhole,unicast,l1,all_to_all,riscv_0,205824,4x4,1x1,424.5,1.206126526082131
1024,1,blackhole,unicast,l1,all_to_all,riscv_0,206848,4x4,1x1,441.0,2.3219954648526078
2048,1,blackhole,unicast,l1,all_to_all,riscv_0,207872,4x4,1x1,551.5,3.716835592997236
4096,1,blackhole,unicast,l1,all_to_all,riscv_0,208896,4x4,1x1,790.0,5.212908547272915
8192,1,blackhole,unicast,l1,all_to_all,riscv_0,209920,4x4,1x1,1345.5,6.123288675761138
16384,1,blackhole,unicast,l1,all_to_all,riscv_0,210944,4x4,1x1,2420.5,6.789193571802267
32768,1,blackhole,unicast,l1,all_to_all,riscv_0,211968,4x4,1x1,5774.5,5.678461086002725
65536,1,blackhole,unicast,l1,all_to_all,riscv_0,212992,4x4,1x1,11527.0,5.686384312934857
64,16,blackhole,unicast,l1,all_to_all,riscv_0,214016,4x4,1x1,1143.0,0.8959051578966706
128,16,blackhole,unicast,l1,all_to_all,riscv_0,215040,4x4,1x1,1183.0,1.7311918850380388
256,16,blackhole,unicast,l1,all_to_all,riscv_0,216064,4x4,1x1,1257.5,3.2572569761956256
512,16,blackhole,unicast,l1,all_to_all,riscv_0,217088,4x4,1x1,1905.0,4.300273131890298
1024,16,blackhole,unicast,l1,all_to_all,riscv_0,218112,4x4,1x1,3323.0,4.930529153126601
2048,16,blackhole,unicast,l1,all_to_all,riscv_0,219136,4x4,1x1,6120.5,5.354334132652871
4096,16,blackhole,unicast,l1,all_to_all,riscv_0,220160,4x4,1x1,11766.0,5.570556072772172
8192,16,blackhole,unicast,l1,all_to_all,riscv_0,221184,4x4,1x1,23121.0,5.670250887795214
16384,16,blackhole,unicast,l1,all_to_all,riscv_0,222208,4x4,1x1,46014.0,5.697108461801938
32768,16,blackhole,unicast,l1,all_to_all,riscv_0,223232,4x4,1x1,92316.0,5.67929052604627
65536,16,blackhole,unicast,l1,all_to_all,riscv_0,224256,4x4,1x1,184068.5,5.696665750787369
64,256,blackhole,unicast,l1,all_to_all,riscv_0,225280,4x4,1x1,11042.0,1.4838899520259945
128,256,blackhole,unicast,l1,all_to_all,riscv_0,226304,4x4,1x1,13841.0,2.3676004936098125
256,256,blackhole,unicast,l1,all_to_all,riscv_0,227328,4x4,1x1,16542.5,3.9617526843812976
512,256,blackhole,unicast,l1,all_to_all,riscv_0,228352,4x4,1x1,26193.0,5.0040853234711555
1024,256,blackhole,unicast,l1,all_to_all,riscv_0,229376,4x4,1x1,48680.5,5.38499147876952
2048,256,blackhole,unicast,l1,all_to_all,riscv_0,230400,4x4,1x1,94125.5,5.570100394447084
4096,256,blackhole,unicast,l1,all_to_all,riscv_0,231424,4x4,1x1,185619.5,5.649062090553029
8192,256,blackhole,unicast,l1,all_to_all,riscv_0,232448,4x4,1x1,369662.0,5.673165743394804
16384,256,blackhole,unicast,l1,all_to_all,riscv_0,233472,4x4,1x1,736460.5,5.6952194378879675
32768,256,blackhole,unicast,l1,all_to_all,riscv_0,234496,4x4,1x1,1472785.5,5.69574325708038
65536,256,blackhole,unicast,l1,all_to_all,riscv_0,235520,4x4,1x1,2957826.5,5.67214339448744
64,16,blackhole,unicast,l1,all_to_all,riscv_0,236544,11x10,4x4,1550.0,0.6606454362728142
128,16,blackhole,unicast,l1,all_to_all,riscv_0,237568,11x10,4x4,1745.5,1.1733074960334888
256,16,blackhole,unicast,l1,all_to_all,riscv_0,238592,11x10,4x4,2274.0,1.8012734591579314
512,16,blackhole,unicast,l1,all_to_all,riscv_0,239616,11x10,4x4,3652.0,2.243187401457669
1024,16,blackhole,unicast,l1,all_to_all,riscv_0,240640,11x10,4x4,6226.5,2.6314507121672284
2048,16,blackhole,unicast,l1,all_to_all,riscv_0,241664,11x10,4x4,11778.5,2.782084385703093
4096,16,blackhole,unicast,l1,all_to_all,riscv_0,242688,11x10,4x4,22670.5,2.8909162680194376
8192,16,blackhole,unicast,l1,all_to_all,riscv_0,243712,11x10,4x4,45803.5,2.861775393247602
16384,16,blackhole,unicast,l1,all_to_all,riscv_0,244736,11x10,4x4,89297.5,2.935910094741899
32768,16,blackhole,unicast,l1,all_to_all,riscv_0,245760,11x10,4x4,178347.0,2.93988523244849
65536,16,blackhole,unicast,l1,all_to_all,riscv_0,246784,11x10,4x4,359208.5,2.919261475036432
64,256,blackhole,unicast,l1,all_to_all,riscv_0,247808,11x10,4x4,20093.5,0.8154621287394257
128,256,blackhole,unicast,l1,all_to_all,riscv_0,248832,11x10,4x4,24194.0,1.3544798039199928
256,256,blackhole,unicast,l1,all_to_all,riscv_0,249856,11x10,4x4,33527.5,1.9546957447084856
512,256,blackhole,unicast,l1,all_to_all,riscv_0,250880,11x10,4x4,53220.5,2.462988433077842
1024,256,blackhole,unicast,l1,all_to_all,riscv_0,251904,11x10,4x4,102853.5,2.548713103543182
2048,256,blackhole,unicast,l1,all_to_all,riscv_0,252928,11x10,4x4,185164.0,2.831526322199126
4096,256,blackhole,unicast,l1,all_to_all,riscv_0,253952,11x10,4x4,369543.5,2.8374961309627267
8192,256,blackhole,unicast,l1,all_to_all,riscv_0,254976,11x10,4x4,746226.5,2.8103424832414836
16384,256,blackhole,unicast,l1,all_to_all,riscv_0,256000,11x10,4x4,1461527.0,2.8698688849790237
32768,256,blackhole,unicast,l1,all_to_all,riscv_0,257024,11x10,4x4,2913066.0,2.8796512671168113
65536,256,blackhole,unicast,l1,all_to_all,riscv_0,258048,11x10,4x4,5820178.5,2.8826150478025467
64,4096,blackhole,unicast,l1,all_to_all,riscv_0,259072,11x10,4x4,313953.5,0.8349772898180754
128,4096,blackhole,unicast,l1,all_to_all,riscv_0,260096,11x10,4x4,381074.5,1.3758215157001894
256,4096,blackhole,unicast,l1,all_to_all,riscv_0,261120,11x10,4x4,541312.0,1.9371012836701649
512,4096,blackhole,unicast,l1,all_to_all,riscv_0,262144,11x10,4x4,883600.0,2.3734396051504825
1024,4096,blackhole,unicast,l1,all_to_all,riscv_0,263168,11x10,4x4,1589036.0,2.6395420692978684
2048,4096,blackhole,unicast,l1,all_to_all,riscv_0,264192,11x10,4x4,3021917.5,2.776634819891632
