Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
512,256,blackhole,riscv_1,123904,2,1,9136.0,14.34676007005254
512,256,blackhole,riscv_1,124928,3,1,9135.0,14.34833059660646
512,256,blackhole,riscv_1,125952,4,1,9136.0,14.34676007005254
1024,256,blackhole,riscv_1,126976,1,1,9145.0,28.665281574630946
1024,256,blackhole,riscv_1,128000,2,1,9145.0,28.665281574630946
1024,256,blackhole,riscv_1,129024,3,1,9144.0,28.668416447944008
1024,256,blackhole,riscv_1,130048,4,1,9144.0,28.668416447944008
2048,256,blackhole,riscv_1,131072,1,1,9162.0,57.22418685876446
2048,256,blackhole,riscv_1,132096,2,1,9161.0,57.23043335880362
2048,256,blackhole,riscv_1,133120,3,1,9173.0,57.155565245830154
2048,256,blackhole,riscv_1,134144,4,1,9194.0,57.02501631498804
4096,256,blackhole,riscv_1,135168,1,1,17438.0,60.13166647551325
4096,256,blackhole,riscv_1,136192,2,1,17432.0,60.152363469481415
4096,256,blackhole,riscv_1,137216,3,1,17497.0,59.92890209750243
4096,256,blackhole,riscv_1,138240,4,1,17488.0,59.95974382433669
8192,256,blackhole,riscv_1,139264,1,1,34296.0,61.148588756706324
8192,256,blackhole,riscv_1,140288,2,1,34392.0,60.97790183763666
8192,256,blackhole,riscv_1,141312,3,1,34375.0,61.00805818181818
8192,256,blackhole,riscv_1,142336,4,1,34312.0,61.12007460946607
16384,256,blackhole,riscv_1,143360,1,1,68262.0,61.444200287129
16384,256,blackhole,riscv_1,144384,2,1,68184.0,61.51449020298017
16384,256,blackhole,riscv_1,145408,3,1,68401.0,61.31933743658718
16384,256,blackhole,riscv_1,146432,4,1,68302.0,61.40821645046997
32768,256,blackhole,riscv_1,147456,1,1,136151.0,61.612533143348195
32768,256,blackhole,riscv_1,148480,2,1,136522.0,61.44510042337499
32768,256,blackhole,riscv_1,149504,3,1,136820.0,61.3112702821225
32768,256,blackhole,riscv_1,150528,4,1,136280.0,61.55421191664221
65536,256,blackhole,riscv_1,151552,1,1,272354.0,61.600769586640915
65536,256,blackhole,riscv_1,152576,2,1,272226.0,61.6297341179755
65536,256,blackhole,riscv_1,153600,3,1,272918.0,61.47346822122396
65536,256,blackhole,riscv_1,154624,4,1,272636.0,61.53705306709312
131072,256,blackhole,riscv_1,155648,1,1,544779.0,61.592741276737904
131072,256,blackhole,riscv_1,156672,2,1,545302.0,61.5336675823672
131072,256,blackhole,riscv_1,157696,3,1,544253.0,61.65226833843819
131072,256,blackhole,riscv_1,158720,4,1,544142.0,61.664844838295885
262144,256,blackhole,riscv_1,159744,1,1,1085929.0,61.79857430826509
262144,256,blackhole,riscv_1,160768,2,1,1089281.0,61.608404075716
262144,256,blackhole,riscv_1,161792,3,1,1091227.0,61.49853696801857
262144,256,blackhole,riscv_1,162816,4,1,1089477.0,61.59732054921765
