Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Multicast Scheme Type,Subordinate Grid Size X,Subordinate Grid Size Y,Loopback,Subordinate Grid Dimensions,Latency (cycles),Bandwidth (bytes/cycle)
8192,256,wormhole_b0,riscv_0,98304,1,7,5,5,false,5x5,74419.0,28.180330291995325
8192,256,wormhole_b0,riscv_0,104448,1,3,6,6,false,6x6,75534.0,27.764344533587522
8192,256,wormhole_b0,riscv_0,108544,1,7,6,6,false,6x6,74450.0,28.16859637340497
8192,256,wormhole_b0,riscv_0,114688,1,3,7,7,false,7x7,78280.0,26.790393459376595
8192,256,wormhole_b0,riscv_0,118784,1,7,7,7,false,7x7,74459.0,28.165191581944427
8192,256,wormhole_b0,riscv_0,3072,0,4,2,2,false,2x2,67908.0,30.882252459209518
8192,256,wormhole_b0,riscv_0,4096,0,5,2,2,false,2x2,68775.0,30.49294074881861
8192,256,wormhole_b0,riscv_0,14336,0,5,3,3,false,3x3,69377.0,30.228346570188968
8192,256,wormhole_b0,riscv_0,24576,0,5,4,4,false,4x4,69802.0,30.044296725022207
8192,256,wormhole_b0,riscv_0,34816,0,5,5,5,false,5x5,70232.0,29.860348559061396
8192,256,wormhole_b0,riscv_0,45056,0,5,6,6,false,6x6,70231.0,29.860773732397373
8192,256,wormhole_b0,riscv_0,55296,0,5,7,7,false,7x7,70549.0,29.726176132900537
8192,256,wormhole_b0,riscv_0,64512,1,4,2,2,false,2x2,74288.0,28.230023691578722
8192,256,wormhole_b0,riscv_0,65536,1,5,2,2,false,2x2,74417.0,28.181087654702555
8192,256,wormhole_b0,riscv_0,75776,1,5,3,3,false,3x3,74424.0,28.17843706331291
8192,256,wormhole_b0,riscv_0,86016,1,5,4,4,false,4x4,74405.0,28.185632685975406
8192,256,wormhole_b0,riscv_0,96256,1,5,5,5,false,5x5,74442.0,28.171623545847773
8192,256,wormhole_b0,riscv_0,106496,1,5,6,6,false,6x6,76956.0,27.25131243827642
8192,256,wormhole_b0,riscv_0,116736,1,5,7,7,false,7x7,80477.0,26.059023074915814
8192,256,wormhole_b0,riscv_0,13312,0,4,3,3,false,3x3,69211.0,30.30084813107743
8192,256,wormhole_b0,riscv_0,74752,1,4,3,3,false,3x3,74296.0,28.22698395606762
8192,256,wormhole_b0,riscv_0,23552,0,4,4,4,false,4x4,70972.0,29.549005241503693
8192,256,wormhole_b0,riscv_0,84992,1,4,4,4,false,4x4,74302.0,28.22470458399505
8192,256,wormhole_b0,riscv_0,33792,0,4,5,5,false,5x5,73462.0,28.54743949252675
8192,256,wormhole_b0,riscv_0,95232,1,4,5,5,false,5x5,74370.0,28.198897404867555
8192,256,wormhole_b0,riscv_0,44032,0,4,6,6,false,6x6,75113.0,27.91996059270699
8192,256,wormhole_b0,riscv_0,105472,1,4,6,6,false,6x6,75464.0,27.790098590056186
8192,256,wormhole_b0,riscv_0,54272,0,4,7,7,false,7x7,78309.0,26.780472231799667
8192,256,wormhole_b0,riscv_0,115712,1,4,7,7,false,7x7,78289.0,26.78731367114154
8192,256,wormhole_b0,riscv_0,1024,0,2,2,2,false,2x2,67851.0,30.908195899839352
8192,256,wormhole_b0,riscv_0,5120,0,6,2,2,false,2x2,68654.0,30.546683368776765
8192,256,wormhole_b0,riscv_0,15360,0,6,3,3,false,3x3,70125.0,29.905910873440284
8192,256,wormhole_b0,riscv_0,25600,0,6,4,4,false,4x4,71741.0,29.232266068217616
8192,256,wormhole_b0,riscv_0,35840,0,6,5,5,false,5x5,74140.0,28.28637712435932
8192,256,wormhole_b0,riscv_0,46080,0,6,6,6,false,6x6,76995.0,27.237508929151243
8192,256,wormhole_b0,riscv_0,56320,0,6,7,7,false,7x7,80178.0,26.156202449549752
8192,256,wormhole_b0,riscv_0,62464,1,2,2,2,false,2x2,74313.0,28.22052669115767
8192,256,wormhole_b0,riscv_0,66560,1,6,2,2,false,2x2,74420.0,28.179951625907016
8192,256,wormhole_b0,riscv_0,76800,1,6,3,3,false,3x3,74421.0,28.17957296999503
8192,256,wormhole_b0,riscv_0,87040,1,6,4,4,false,4x4,74413.0,28.18260250225095
8192,256,wormhole_b0,riscv_0,97280,1,6,5,5,false,5x5,74433.0,28.17502989265514
8192,256,wormhole_b0,riscv_0,107520,1,6,6,6,false,6x6,74437.0,28.173515859048592
8192,256,wormhole_b0,riscv_0,117760,1,6,7,7,false,7x7,74460.0,28.16481332258931
8192,256,wormhole_b0,riscv_0,0,0,1,2,2,false,2x2,67868.0,30.900453822125304
8192,256,wormhole_b0,riscv_0,61440,1,1,2,2,false,2x2,74175.0,28.273029996629592
8192,256,wormhole_b0,riscv_0,8192,0,9,2,2,false,2x2,68478.0,30.62519349280061
8192,256,wormhole_b0,riscv_0,69632,1,9,2,2,false,2x2,74179.0,28.271505412583075
8192,256,wormhole_b0,riscv_0,11264,0,2,3,3,false,3x3,68750.0,30.50402909090909
8192,256,wormhole_b0,riscv_0,72704,1,2,3,3,false,3x3,74320.0,28.217868675995696
8192,256,wormhole_b0,riscv_0,7168,0,8,2,2,false,2x2,68230.0,30.736508867067272
8192,256,wormhole_b0,riscv_0,68608,1,8,2,2,false,2x2,74182.0,28.270362082445878
8192,256,wormhole_b0,riscv_0,9216,0,10,2,2,false,2x2,68694.0,30.528896264593705
8192,256,wormhole_b0,riscv_0,10240,0,1,3,3,false,3x3,69031.0,30.379858324520868
8192,256,wormhole_b0,riscv_0,70656,1,10,2,2,false,2x2,74201.0,28.263123138502177
8192,256,wormhole_b0,riscv_0,71680,1,1,3,3,false,3x3,74199.0,28.263884958018302
8192,256,wormhole_b0,riscv_0,18432,0,9,3,3,false,3x3,70046.0,29.939639665362762
8192,256,wormhole_b0,riscv_0,79872,1,9,3,3,false,3x3,74212.0,28.258933865143103
8192,256,wormhole_b0,riscv_0,21504,0,2,4,4,false,4x4,70384.0,29.79586269606729
8192,256,wormhole_b0,riscv_0,82944,1,2,4,4,false,4x4,74437.0,28.173515859048592
8192,256,wormhole_b0,riscv_0,17408,0,8,3,3,false,3x3,69202.0,30.304788878934136
8192,256,wormhole_b0,riscv_0,78848,1,8,3,3,false,3x3,74229.0,28.25246197577766
8192,256,wormhole_b0,riscv_0,19456,0,10,3,3,false,3x3,69363.0,30.234447760333317
8192,256,wormhole_b0,riscv_0,20480,0,1,4,4,false,4x4,70437.0,29.773442934821187
8192,256,wormhole_b0,riscv_0,80896,1,10,3,3,false,3x3,74232.0,28.2513201853648
8192,256,wormhole_b0,riscv_0,81920,1,1,4,4,false,4x4,74306.0,28.22318520711652
8192,256,wormhole_b0,riscv_0,28672,0,9,4,4,false,4x4,71708.0,29.24571874825682
8192,256,wormhole_b0,riscv_0,90112,1,9,4,4,false,4x4,74286.0,28.230783727754893
8192,256,wormhole_b0,riscv_0,31744,0,2,5,5,false,5x5,72180.0,29.054474923801607
8192,256,wormhole_b0,riscv_0,93184,1,2,5,5,false,5x5,75138.0,27.910671031967844
8192,256,wormhole_b0,riscv_0,27648,0,8,4,4,false,4x4,69626.0,30.12024243816965
8192,256,wormhole_b0,riscv_0,89088,1,8,4,4,false,4x4,74295.0,28.22736388720641
8192,256,wormhole_b0,riscv_0,29696,0,10,4,4,false,4x4,69724.0,30.0779071768688
8192,256,wormhole_b0,riscv_0,30720,0,1,5,5,false,5x5,72931.0,28.755289245999645
8192,256,wormhole_b0,riscv_0,91136,1,10,4,4,false,4x4,74306.0,28.22318520711652
8192,256,wormhole_b0,riscv_0,92160,1,1,5,5,false,5x5,74888.0,28.00384574297618
8192,256,wormhole_b0,riscv_0,38912,0,9,5,5,false,5x5,73608.0,28.490816215628737
8192,256,wormhole_b0,riscv_0,100352,1,9,5,5,false,5x5,74317.0,28.219007764037837
8192,256,wormhole_b0,riscv_0,41984,0,2,6,6,false,6x6,74954.0,27.97918723483737
8192,256,wormhole_b0,riscv_0,103424,1,2,6,6,false,6x6,76890.0,27.274704122772793
8192,256,wormhole_b0,riscv_0,37888,0,8,5,5,false,5x5,69924.0,29.99187689491448
8192,256,wormhole_b0,riscv_0,99328,1,8,5,5,false,5x5,75536.0,27.763609404787122
8192,256,wormhole_b0,riscv_0,39936,0,10,5,5,false,5x5,69930.0,29.98930358930359
8192,256,wormhole_b0,riscv_0,40960,0,1,6,6,false,6x6,74986.0,27.96724721948097
8192,256,wormhole_b0,riscv_0,101376,1,10,5,5,false,5x5,74342.0,28.209518172769094
8192,256,wormhole_b0,riscv_0,102400,1,1,6,6,false,6x6,76877.0,27.279316310469973
8192,256,wormhole_b0,riscv_0,49152,0,9,6,6,false,6x6,76668.0,27.353680805551207
8192,256,wormhole_b0,riscv_0,110592,1,9,6,6,false,6x6,74357.0,28.203827480936564
8192,256,wormhole_b0,riscv_0,52224,0,2,7,7,false,7x7,78079.0,26.859360391398454
8192,256,wormhole_b0,riscv_0,113664,1,2,7,7,false,7x7,78952.0,26.56236700780221
8192,256,wormhole_b0,riscv_0,48128,0,8,6,6,false,6x6,70144.0,29.8978102189781
8192,256,wormhole_b0,riscv_0,109568,1,8,6,6,false,6x6,77565.0,27.037349319925223
8192,256,wormhole_b0,riscv_0,50176,0,10,6,6,false,6x6,70230.0,29.861198917841378
8192,256,wormhole_b0,riscv_0,51200,0,1,7,7,false,7x7,78399.0,26.74972895062437
8192,256,wormhole_b0,riscv_0,111616,1,10,6,6,false,6x6,74378.0,28.19586436849606
8192,256,wormhole_b0,riscv_0,112640,1,1,7,7,false,7x7,78882.0,26.585938490403386
8192,256,wormhole_b0,riscv_0,59392,0,9,7,7,false,7x7,80164.0,26.160770420637693
8192,256,wormhole_b0,riscv_0,120832,1,9,7,7,false,7x7,74395.0,28.18942133207877
8192,256,wormhole_b0,riscv_0,58368,0,8,7,7,false,7x7,70464.0,29.76203451407811
8192,256,wormhole_b0,riscv_0,119808,1,8,7,7,false,7x7,79971.0,26.22390616598517
8192,256,wormhole_b0,riscv_0,60416,0,10,7,7,false,7x7,70420.0,29.7806305026981
8192,256,wormhole_b0,riscv_0,121856,1,10,7,7,false,7x7,74432.0,28.175408426483234
