Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,36,wormhole_b0,riscv_1,73728,L1,unicast,all_from_all,True,False,False,9,1,1173.0,0.9820971867007673
64,36,wormhole_b0,riscv_1,74752,L1,unicast,all_from_all,True,False,False,9,1,1158.0,1.9896373056994818
128,36,wormhole_b0,riscv_1,75776,L1,unicast,all_from_all,True,False,False,9,1,1111.0,4.147614761476148
256,36,wormhole_b0,riscv_1,76800,L1,unicast,all_from_all,True,False,False,9,1,1243.0,7.414320193081255
512,36,wormhole_b0,riscv_1,77824,L1,unicast,all_from_all,True,False,False,9,1,1698.0,10.855123674911662
1024,36,wormhole_b0,riscv_1,78848,L1,unicast,all_from_all,True,False,False,9,1,2588.0,14.24420401854714
2048,36,wormhole_b0,riscv_1,79872,L1,unicast,all_from_all,True,False,False,9,1,4917.0,14.99450884685784
4096,36,wormhole_b0,riscv_1,80896,L1,unicast,all_from_all,True,False,False,9,1,10782.0,13.676126878130217
8192,36,wormhole_b0,riscv_1,81920,L1,unicast,all_from_all,True,False,False,9,1,20470.0,14.407034684904739
16384,36,wormhole_b0,riscv_1,82944,L1,unicast,all_from_all,True,False,False,9,1,50004.0,11.795536357091432
32768,36,wormhole_b0,riscv_1,83968,L1,unicast,all_from_all,True,False,False,9,1,127428.0,9.257368867124965
65536,36,wormhole_b0,riscv_1,84992,L1,unicast,all_from_all,True,False,False,9,1,273203.0,8.635688480726786
32,144,wormhole_b0,riscv_1,86016,L1,unicast,all_from_all,True,False,False,9,1,4635.0,0.9941747572815534
64,144,wormhole_b0,riscv_1,87040,L1,unicast,all_from_all,True,False,False,9,1,4740.0,1.9443037974683544
128,144,wormhole_b0,riscv_1,88064,L1,unicast,all_from_all,True,False,False,9,1,4479.0,4.115204286671132
256,144,wormhole_b0,riscv_1,89088,L1,unicast,all_from_all,True,False,False,9,1,4898.0,7.526337280522663
512,144,wormhole_b0,riscv_1,90112,L1,unicast,all_from_all,True,False,False,9,1,7348.0,10.033750680457267
1024,144,wormhole_b0,riscv_1,91136,L1,unicast,all_from_all,True,False,False,9,1,14243.0,10.35287509653865
2048,144,wormhole_b0,riscv_1,92160,L1,unicast,all_from_all,True,False,False,9,1,28536.0,10.334735071488646
4096,144,wormhole_b0,riscv_1,93184,L1,unicast,all_from_all,True,False,False,9,1,64005.0,9.215280056245605
8192,144,wormhole_b0,riscv_1,94208,L1,unicast,all_from_all,True,False,False,9,1,113073.0,10.432623172640684
16384,144,wormhole_b0,riscv_1,95232,L1,unicast,all_from_all,True,False,False,9,1,223429.0,10.559488696632934
32768,144,wormhole_b0,riscv_1,96256,L1,unicast,all_from_all,True,False,False,9,1,485195.0,9.725145560032564
65536,144,wormhole_b0,riscv_1,97280,L1,unicast,all_from_all,True,False,False,9,1,939470.0,10.045221241763974
32,576,wormhole_b0,riscv_1,98304,L1,unicast,all_from_all,True,False,False,9,1,16271.0,1.1328129801487308
64,576,wormhole_b0,riscv_1,99328,L1,unicast,all_from_all,True,False,False,9,1,16005.0,2.3032802249297095
128,576,wormhole_b0,riscv_1,100352,L1,unicast,all_from_all,True,False,False,9,1,16218.0,4.546059933407325
256,576,wormhole_b0,riscv_1,101376,L1,unicast,all_from_all,True,False,False,9,1,18076.0,8.157556981633105
512,576,wormhole_b0,riscv_1,102400,L1,unicast,all_from_all,True,False,False,9,1,28006.0,10.530314932514461
1024,576,wormhole_b0,riscv_1,103424,L1,unicast,all_from_all,True,False,False,9,1,57748.0,10.213756320565214
2048,576,wormhole_b0,riscv_1,104448,L1,unicast,all_from_all,True,False,False,9,1,120828.0,9.763035058099117
4096,576,wormhole_b0,riscv_1,105472,L1,unicast,all_from_all,True,False,False,9,1,222269.0,10.614597627199474
8192,576,wormhole_b0,riscv_1,106496,L1,unicast,all_from_all,True,False,False,9,1,490884.0,9.61243796905175
16384,576,wormhole_b0,riscv_1,107520,L1,unicast,all_from_all,True,False,False,9,1,902080.0,10.461582121319617
32768,576,wormhole_b0,riscv_1,108544,L1,unicast,all_from_all,True,False,False,9,1,1767439.0,10.67893601985698
