Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
512,16384,wormhole_b0,riscv_1,69632,1,1,574134.0,14.610888747226257
512,16384,wormhole_b0,riscv_1,70656,2,1,623283.0,13.458746668848661
512,16384,wormhole_b0,riscv_1,71680,3,1,623286.0,13.458681889212977
512,16384,wormhole_b0,riscv_1,72704,4,1,623277.0,13.458876229990839
1024,16384,wormhole_b0,riscv_1,73728,1,1,578683.0,28.992066468169966
1024,16384,wormhole_b0,riscv_1,74752,2,1,623302.0,26.916672816708434
1024,16384,wormhole_b0,riscv_1,75776,3,1,623303.0,26.91662963277892
1024,16384,wormhole_b0,riscv_1,76800,4,1,623299.0,26.916802369328366
2048,16384,wormhole_b0,riscv_1,77824,1,1,1108982.0,30.256967200549692
2048,16384,wormhole_b0,riscv_1,78848,2,1,1108819.0,30.26141507315441
2048,16384,wormhole_b0,riscv_1,79872,3,1,1108684.0,30.26509988418702
2048,16384,wormhole_b0,riscv_1,80896,4,1,1111867.0,30.17845839475405
4096,16384,wormhole_b0,riscv_1,81920,1,1,2212368.0,30.33349967094082
4096,16384,wormhole_b0,riscv_1,82944,2,1,2210878.0,30.353942641792084
4096,16384,wormhole_b0,riscv_1,83968,3,1,2212854.0,30.326837649478907
4096,16384,wormhole_b0,riscv_1,84992,4,1,2211678.0,30.342963125735302
8192,16384,wormhole_b0,riscv_1,86016,1,1,4413356.0,30.41171571022143
8192,16384,wormhole_b0,riscv_1,87040,2,1,4412259.0,30.419276837556453
8192,16384,wormhole_b0,riscv_1,88064,3,1,4414635.0,30.402904883416184
8192,16384,wormhole_b0,riscv_1,89088,4,1,4393732.0,30.547545457938718
16384,16384,wormhole_b0,riscv_1,90112,1,1,9108188.0,29.471883540392447
16384,16384,wormhole_b0,riscv_1,91136,2,1,9084353.0,29.549210163893896
16384,16384,wormhole_b0,riscv_1,92160,3,1,9088558.0,29.535538641003335
16384,16384,wormhole_b0,riscv_1,93184,4,1,9091044.0,29.52746197246433
32768,16384,wormhole_b0,riscv_1,94208,1,1,18512259.0,29.000831935205746
32768,16384,wormhole_b0,riscv_1,95232,2,1,18501046.0,29.018408580790513
32768,16384,wormhole_b0,riscv_1,96256,3,1,18548507.0,28.944157715766558
32768,16384,wormhole_b0,riscv_1,97280,4,1,18512797.0,28.99998914264549
65536,16384,wormhole_b0,riscv_1,98304,1,1,37523676.0,28.615048909387237
65536,16384,wormhole_b0,riscv_1,99328,2,1,37363197.0,28.737953660657038
65536,16384,wormhole_b0,riscv_1,100352,3,1,37384158.0,28.72184051864964
65536,16384,wormhole_b0,riscv_1,101376,4,1,37359269.0,28.7409752048414
131072,16384,wormhole_b0,riscv_1,102400,1,1,75150332.0,28.575837136687568
131072,16384,wormhole_b0,riscv_1,103424,2,1,75034432.0,28.6199760664544
131072,16384,wormhole_b0,riscv_1,104448,3,1,75265146.0,28.532245828633616
131072,16384,wormhole_b0,riscv_1,105472,4,1,75090682.0,28.59853700622935
