Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,145408,2x2,1x1,4,33554432,1182506.0,28.37569703663237
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,146432,2x2,1x1,4,67108864,2364685.0,28.379620964314487
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,147456,4x4,2x2,16,512,590.0,0.8677966101694915
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,148480,4x4,2x2,16,1024,545.0,1.8788990825688074
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,149504,4x4,2x2,16,2048,594.0,3.4478114478114477
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,150528,4x4,2x2,16,4096,609.0,6.725779967159277
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,151552,4x4,2x2,16,8192,752.0,10.893617021276595
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,152576,4x4,2x2,16,16384,1255.0,13.054980079681275
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,153600,4x4,2x2,16,32768,2170.0,15.100460829493088
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,154624,4x4,2x2,16,65536,3829.0,17.115696004178638
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,155648,4x4,2x2,16,131072,7297.0,17.962450322050156
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,156672,4x4,2x2,16,262144,14571.0,17.990803651087777
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,157696,4x4,2x2,16,524288,34158.0,15.348908015691785
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,158720,4x4,2x2,16,1048576,71201.0,14.726984171570624
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,159744,4x4,2x2,16,8192,5097.0,1.6072199332940946
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,160768,4x4,2x2,16,16384,5088.0,3.220125786163522
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,161792,4x4,2x2,16,32768,5087.0,6.4415175938667195
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,162816,4x4,2x2,16,65536,5499.0,11.917803236952173
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,163840,4x4,2x2,16,131072,9233.0,14.196035957976822
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,164864,4x4,2x2,16,262144,17378.0,15.084819887213719
