Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Mechanism,Pattern,Number of subordinates,Memory type,Stateful,Same axis,Loopback,NoC Index,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
8192,4,wormhole_b0,riscv_1,109568,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,2097152,13593.0,154.28176267196352
32,16,wormhole_b0,riscv_1,110592,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,32768,1506.0,21.758300132802123
64,16,wormhole_b0,riscv_1,111616,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,65536,1527.0,42.91814014407335
128,16,wormhole_b0,riscv_1,112640,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,131072,1554.0,84.34491634491634
256,16,wormhole_b0,riscv_1,113664,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,262144,2014.0,130.16087388282025
512,16,wormhole_b0,riscv_1,114688,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,524288,3490.0,150.22578796561604
1024,16,wormhole_b0,riscv_1,115712,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,1048576,6623.0,158.3234183904575
2048,16,wormhole_b0,riscv_1,116736,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,2097152,13927.0,150.58174768435413
4096,16,wormhole_b0,riscv_1,117760,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,4194304,23979.0,174.91571791984654
8192,16,wormhole_b0,riscv_1,118784,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,8388608,50646.0,165.63219207834774
32,64,wormhole_b0,riscv_1,119808,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,131072,3083.0,42.51443399286409
64,64,wormhole_b0,riscv_1,120832,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,262144,3558.0,73.67734682405846
128,64,wormhole_b0,riscv_1,121856,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,524288,4029.0,130.12856788284935
256,64,wormhole_b0,riscv_1,122880,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,1048576,6792.0,154.38398115429916
512,64,wormhole_b0,riscv_1,123904,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,2097152,13336.0,157.25494901019795
1024,64,wormhole_b0,riscv_1,124928,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,4194304,26901.0,155.91628563993905
2048,64,wormhole_b0,riscv_1,125952,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,8388608,49212.0,170.458587336422
4096,64,wormhole_b0,riscv_1,126976,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,16777216,102487.0,163.70091816523072
8192,64,wormhole_b0,riscv_1,128000,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,33554432,211343.0,158.76765258371464
32,256,wormhole_b0,riscv_1,129024,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,524288,12757.0,41.09806380810535
64,256,wormhole_b0,riscv_1,130048,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,1048576,12399.0,84.56940075812565
128,256,wormhole_b0,riscv_1,131072,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,2097152,16977.0,123.52900983683807
256,256,wormhole_b0,riscv_1,132096,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,4194304,30954.0,135.50119532209084
512,256,wormhole_b0,riscv_1,133120,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,8388608,60641.0,138.33228343859764
1024,256,wormhole_b0,riscv_1,134144,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,16777216,118787.0,141.23781221850876
2048,256,wormhole_b0,riscv_1,135168,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,33554432,237099.0,141.52076558737068
4096,256,wormhole_b0,riscv_1,136192,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,67108864,498564.0,134.604311582866
8192,256,wormhole_b0,riscv_1,137216,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,134217728,1014711.0,132.2718764258986
32,1,wormhole_b0,riscv_1,138240,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,2048,1209.0,1.6939619520264682
64,1,wormhole_b0,riscv_1,139264,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,4096,1165.0,3.51587982832618
128,1,wormhole_b0,riscv_1,140288,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,8192,1180.0,6.942372881355932
256,1,wormhole_b0,riscv_1,141312,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,16384,1214.0,13.495881383855025
512,1,wormhole_b0,riscv_1,142336,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,32768,1241.0,26.404512489927477
1024,1,wormhole_b0,riscv_1,143360,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,65536,1358.0,48.25920471281296
2048,1,wormhole_b0,riscv_1,144384,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,131072,2191.0,59.82291191236878
4096,1,wormhole_b0,riscv_1,145408,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,262144,3941.0,66.51712763258057
8192,1,wormhole_b0,riscv_1,146432,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,524288,7356.0,71.27351821642196
32,4,wormhole_b0,riscv_1,147456,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,8192,1440.0,5.688888888888889
64,4,wormhole_b0,riscv_1,148480,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,16384,1379.0,11.881073241479333
128,4,wormhole_b0,riscv_1,149504,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,32768,1407.0,23.289267945984363
256,4,wormhole_b0,riscv_1,150528,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,65536,1473.0,44.49151391717583
512,4,wormhole_b0,riscv_1,151552,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,131072,2264.0,57.89399293286219
1024,4,wormhole_b0,riscv_1,152576,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,262144,3824.0,68.55230125523012
2048,4,wormhole_b0,riscv_1,153600,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,524288,7294.0,71.87935289278859
4096,4,wormhole_b0,riscv_1,154624,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,1048576,14949.0,70.14355475282628
8192,4,wormhole_b0,riscv_1,155648,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,2097152,29861.0,70.23046783429892
32,16,wormhole_b0,riscv_1,156672,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,32768,1533.0,21.3750815394651
64,16,wormhole_b0,riscv_1,157696,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,65536,1810.0,36.20773480662984
128,16,wormhole_b0,riscv_1,158720,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,131072,2450.0,53.498775510204084
256,16,wormhole_b0,riscv_1,159744,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,262144,4008.0,65.40518962075848
512,16,wormhole_b0,riscv_1,160768,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,524288,7481.0,70.08260927683465
1024,16,wormhole_b0,riscv_1,161792,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,1048576,14177.0,73.96317979826479
2048,16,wormhole_b0,riscv_1,162816,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,2097152,30110.0,69.64968449020259
4096,16,wormhole_b0,riscv_1,163840,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,4194304,59412.0,70.59691644785565
8192,16,wormhole_b0,riscv_1,164864,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,8388608,131319.0,63.879621379998326
32,64,wormhole_b0,riscv_1,165888,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,131072,3832.0,34.20459290187891
64,64,wormhole_b0,riscv_1,166912,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,262144,5284.0,49.6109008327025
128,64,wormhole_b0,riscv_1,167936,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,524288,8500.0,61.68094117647059
256,64,wormhole_b0,riscv_1,168960,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,1048576,14924.0,70.26105601715358
512,64,wormhole_b0,riscv_1,169984,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,2097152,28340.0,73.99971771347919
1024,64,wormhole_b0,riscv_1,171008,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,4194304,56996.0,73.58944487332444
2048,64,wormhole_b0,riscv_1,172032,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,8388608,112939.0,74.27556468536112
4096,64,wormhole_b0,riscv_1,173056,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,16777216,229154.0,73.21371653996876
8192,64,wormhole_b0,riscv_1,174080,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,33554432,483860.0,69.34739800768817
32,256,wormhole_b0,riscv_1,175104,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,524288,14224.0,36.85939257592801
64,256,wormhole_b0,riscv_1,176128,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,1048576,20176.0,51.97145122918319
128,256,wormhole_b0,riscv_1,177152,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,2097152,31642.0,66.277479299665
256,256,wormhole_b0,riscv_1,178176,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,4194304,56389.0,74.3815992480803
512,256,wormhole_b0,riscv_1,179200,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,8388608,108273.0,77.47645304000073
1024,256,wormhole_b0,riscv_1,180224,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,16777216,216129.0,77.62593636208005
2048,256,wormhole_b0,riscv_1,181248,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,33554432,432425.0,77.59595768052263
4096,256,wormhole_b0,riscv_1,182272,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,67108864,874858.0,76.70829323158729
8192,256,wormhole_b0,riscv_1,183296,DRAM Sharded,unicast,all_from_all,False,False,False,0,1,64,134217728,1813300.0,74.01849004577291
